,weight,marginal_ES,component_ES
USO,0.14285714285714285,0.04950801820188023,0.007072574028840033
SPY,0.14285714285714285,0.03936348804110852,0.0056233554344440745
BTC,0.14285714285714285,0.036255728867866176,0.005179389838266596
EFA,0.14285714285714285,0.033448651733460476,0.004778378819065782
TLH,0.14285714285714285,0.0072419777507418,0.0010345682501059713
GLD,0.14285714285714285,0.006829160143881624,0.0009755943062688035
AGG,0.14285714285714285,0.0036231966761467753,0.000517599525163825
