label,n_obs,worst_day_return,max_drawdown,VaR_hist,ES_hist,VaR_gauss,ES_gauss,ES_t
FULL SAMPLE,354,-0.03166631677202909,-0.10440202440562407,0.009688950901793461,0.017559844336343725,0.012090620852860195,0.015289108640927845,0.01615221583873963
STRESS REPLAY 2025-04-01..2025-07-01,63,-0.028029558004571374,-0.09112653673396032,0.018908926914278177,0.025181460202155084,0.016593411854432565,0.021055157892175033,0.021055157892175033
