model,alpha,horizon_days,VaR,ES
Gaussian_MC,0.95,10,0.045093576322913956,0.05830765975024178
StudentT_MC_df6,0.95,10,0.05739266864347453,0.07498557309777895
Bootstrap_MC,0.95,10,0.043882803175476055,0.057990842439992446
